gender,Race,Education,totalyearlycompensation
Male,Hispanic,Bachelor's Degree,100000
Male,White,Some College,119000
Male,White,Master's Degree,230000
Male,White,Master's Degree,175000
Male,White,Some College,120000
Male,White,Bachelor's Degree,240000
Male,Asian,Master's Degree,140000
Male,Asian,Bachelor's Degree,283000
Male,Asian,Bachelor's Degree,161000
Female,Asian,Master's Degree,350000
Male,Asian,Bachelor's Degree,175000
Male,White,Bachelor's Degree,225000
Male,White,Bachelor's Degree,39000
Male,Asian,Master's Degree,221000
Male,White,Bachelor's Degree,47000
Male,Asian,Master's Degree,223000
Female,Asian,Bachelor's Degree,62000
Male,Asian,Master's Degree,220000
Male,White,Master's Degree,192000
Male,Asian,Master's Degree,43000
Male,White,Bachelor's Degree,240000
Male,Two Or More,Bachelor's Degree,146000
Male,White,Bachelor's Degree,105000
Male,White,Bachelor's Degree,220000
Female,White,Bachelor's Degree,104000
Male,White,Master's Degree,345000
Male,Two Or More,Bachelor's Degree,165000
Male,White,Bachelor's Degree,177000
Male,White,Bachelor's Degree,83000
Female,Asian,Bachelor's Degree,330000
Male,White,Bachelor's Degree,179000
Male,White,Bachelor's Degree,370000
Female,White,Bachelor's Degree,188000
Male,White,Bachelor's Degree,110000
Male,Asian,Bachelor's Degree,279000
Male,Hispanic,Bachelor's Degree,253000
Male,White,Highschool,192000
Male,Hispanic,Bachelor's Degree,180000
Male,Asian,Bachelor's Degree,25000
Male,Asian,Bachelor's Degree,194000
Male,White,Bachelor's Degree,165000
Male,Asian,Bachelor's Degree,12000
Male,White,Bachelor's Degree,204000
Male,Two Or More,Master's Degree,235000
Male,Asian,Master's Degree,117000
Male,Hispanic,Master's Degree,166000
Female,Two Or More,Bachelor's Degree,167000
Male,White,Bachelor's Degree,170000
Male,White,Bachelor's Degree,101000
Male,Asian,Bachelor's Degree,173000
Male,Asian,Master's Degree,161000
Female,White,Bachelor's Degree,138000
Male,Hispanic,Bachelor's Degree,205000
Male,White,PhD,196000
Female,Asian,Master's Degree,181000
Male,White,Bachelor's Degree,108000
Female,Asian,Bachelor's Degree,220000
Male,Asian,Master's Degree,308000
Male,Asian,Master's Degree,261000
Female,Two Or More,Bachelor's Degree,213000
Male,Asian,Bachelor's Degree,467000
Male,Asian,Bachelor's Degree,324000
Female,Asian,Master's Degree,138000
Male,White,Bachelor's Degree,128000
Female,White,Bachelor's Degree,175000
Male,White,Bachelor's Degree,220000
Male,Two Or More,Bachelor's Degree,93000
Male,White,Bachelor's Degree,360000
Male,White,Bachelor's Degree,247000
Female,Asian,Bachelor's Degree,140000
Female,White,Bachelor's Degree,103000
Male,Hispanic,Bachelor's Degree,212000
Male,Asian,Bachelor's Degree,40000
Male,Two Or More,Master's Degree,145000
Male,Asian,Bachelor's Degree,172000
Male,Asian,Master's Degree,160000
Male,White,Bachelor's Degree,252000
Male,Asian,Bachelor's Degree,177000
Male,White,Bachelor's Degree,170000
Male,White,Bachelor's Degree,440000
Male,Asian,Bachelor's Degree,207000
Male,Asian,Bachelor's Degree,149000
Male,Asian,Bachelor's Degree,85000
Male,Asian,Bachelor's Degree,180000
Male,White,Highschool,500000
Female,White,Bachelor's Degree,399000
Male,White,Bachelor's Degree,108000
Male,Asian,Master's Degree,48000
Male,White,Bachelor's Degree,148000
Male,Asian,Bachelor's Degree,154000
Male,Asian,Master's Degree,150000
Female,Asian,Master's Degree,190000
Male,White,Bachelor's Degree,195000
Male,Asian,Master's Degree,235000
Female,Asian,Master's Degree,260000
Male,White,Master's Degree,95000
Male,Asian,Bachelor's Degree,320000
Male,White,PhD,460000
Male,Asian,Master's Degree,135000
Male,White,Bachelor's Degree,174000
Male,Asian,Bachelor's Degree,109000
Male,White,Bachelor's Degree,122000
Male,Asian,Bachelor's Degree,12000
Male,White,Bachelor's Degree,92000
Female,White,Master's Degree,425000
Male,White,Master's Degree,700000
Male,White,Bachelor's Degree,69000
Male,White,Bachelor's Degree,103000
Female,Asian,Master's Degree,69000
Male,Asian,Bachelor's Degree,105000
Male,Asian,Master's Degree,138000
Female,White,Bachelor's Degree,150000
Male,Two Or More,Bachelor's Degree,122000
Male,Asian,Bachelor's Degree,270000
Male,Asian,Bachelor's Degree,25000
Male,White,Master's Degree,380000
Male,Two Or More,Bachelor's Degree,248000
Male,Asian,Bachelor's Degree,181000
Male,Asian,Master's Degree,160000
Male,Asian,Bachelor's Degree,45000
Female,Asian,Master's Degree,194000
Female,Asian,Master's Degree,253000
Female,Asian,Master's Degree,93000
Male,Asian,Master's Degree,325000
Male,White,Bachelor's Degree,165000
Male,White,Bachelor's Degree,85000
Male,White,Bachelor's Degree,178000
Male,Hispanic,Bachelor's Degree,155000
Male,Asian,Bachelor's Degree,38000
Male,Asian,Master's Degree,175000
Male,Hispanic,Bachelor's Degree,85000
Male,Black,Master's Degree,145000
Male,Black,Bachelor's Degree,110000
Male,Black,Master's Degree,201000
Male,Asian,Bachelor's Degree,164000
Male,Asian,Master's Degree,83000
Female,Black,Bachelor's Degree,341000
Male,White,Bachelor's Degree,588000
Male,White,Bachelor's Degree,210000
Male,Asian,Bachelor's Degree,193000
Male,White,Bachelor's Degree,130000
Male,White,Bachelor's Degree,329000
Male,White,Bachelor's Degree,464000
Female,Asian,Bachelor's Degree,173000
Male,Black,Bachelor's Degree,161000
Male,White,Bachelor's Degree,184000
Female,White,Bachelor's Degree,83000
Male,Asian,Bachelor's Degree,155000
Male,Asian,Master's Degree,162000
Male,White,Bachelor's Degree,245000
Male,Asian,Bachelor's Degree,19000
Male,Asian,Bachelor's Degree,169000
Male,White,Bachelor's Degree,132000
Male,Asian,Bachelor's Degree,23000
Female,Asian,Master's Degree,203000
Female,Hispanic,Master's Degree,130000
Male,White,Bachelor's Degree,145000
Male,White,Bachelor's Degree,82000
Male,Asian,Master's Degree,108000
Male,White,Master's Degree,184000
Male,White,PhD,460000
Male,White,Bachelor's Degree,120000
Male,Asian,Bachelor's Degree,57000
Female,White,Bachelor's Degree,120000
Male,Hispanic,Master's Degree,130000
Male,Hispanic,Bachelor's Degree,87000
Male,White,Some College,120000
Male,White,Bachelor's Degree,59000
Male,Asian,PhD,300000
